disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;teilnehmer_offiziell_gerankt;avg_elo;name;jahr;kw;bec17type;datum;rang
BS;5;54;16;16;106.6;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;37
BS;4;30;16;16;103.3;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;38
BS;21;54;16;16;101.6;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;39
BS;47;23;16;16;85.5;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;40
BS;44;41;16;16;55.7;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;41
BS;6;43;16;10;42.9;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;42
BS;3;45;16;9;42.1;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;43
GD;9;64;16;16;394.1;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;1
GD;32;48;16;16;393.8;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;2
GD;48;54;16;16;385.3;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;3
GD;38;52;16;16;378.8;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;4
GD;31;50;16;16;371.9;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;5
GD;30;48;16;16;334.4;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;6
GD;39;36;16;16;320.0;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;7
GD;37;46;16;16;291.6;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;8
GD;25;64;16;16;290.3;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;9
GD;10;64;16;16;288.1;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;10
GD;33;34;16;16;284.1;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;11
GD;11;58;16;16;283.1;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;12
GD;22;64;16;16;269.7;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;13
GD;27;60;16;16;269.1;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;14
GD;36;52;16;16;262.2;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;15
GD;41;38;16;16;251.9;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;16
GD;7;58;16;16;247.5;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;17
GD;34;52;16;16;240.9;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;18
GD;23;56;16;16;235.6;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;19
GD;19;60;16;16;213.1;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;20
GD;28;46;16;15;212.8;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;21
GD;40;42;16;16;211.2;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;22
GD;13;42;16;16;210.0;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;23
GD;24;60;16;16;202.2;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;24
GD;2;34;16;16;191.2;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;25
GD;43;26;16;16;179.1;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;26
GD;42;44;16;16;176.6;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;27
GD;20;48;16;16;167.2;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;28
GD;45;8;8;8;158.8;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;29
GD;35;18;16;16;151.2;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;30
GD;8;60;16;16;146.2;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;31
GD;26;52;16;16;142.2;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;32
GD;29;60;16;16;141.6;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;33
GD;15;40;16;15;139.7;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;34
GD;46;24;16;16;132.8;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;35
GD;4;20;16;11;132.5;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;36
GD;18;62;16;16;130.9;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;37
