disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;avg_elo;name;jahr;kw;bec17type;datum;rang
BS;4;30;16;1209.2;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;40
BS;3;45;16;1209.2;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;40
BS;34;62;16;1208.8;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;41
BS;6;43;16;1207.6;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;42
BS;28;64;16;1205.9;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;43
BS;27;93;16;1205.0;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;44
BS;29;64;16;1200.0;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;45
GD;9;64;16;1315.0;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;1
GD;18;62;16;1287.1;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;2
GD;10;64;16;1270.4;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;3
GD;42;42;16;1269.9;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;4
GD;22;64;16;1259.9;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;5
GD;11;58;16;1255.8;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;6
GD;32;48;16;1251.9;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;7
GD;20;48;16;1239.5;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;8
GD;31;50;16;1236.6;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;9
GD;8;60;16;1235.8;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;10
GD;25;64;16;1230.2;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;11
GD;1;32;16;1229.9;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;12
GD;23;56;16;1228.2;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;13
GD;19;60;16;1227.4;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;14
GD;36;52;16;1226.1;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;15
GD;15;40;16;1225.4;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;16
GD;13;38;16;1224.9;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;17
GD;37;46;16;1223.0;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;18
GD;14;48;16;1222.7;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;19
GD;38;50;16;1222.6;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;20
GD;21;36;16;1220.7;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;21
GD;2;34;16;1220.0;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;22
GD;30;48;16;1219.0;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;23
GD;40;42;16;1217.8;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;24
GD;6;34;16;1215.8;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;25
GD;28;46;16;1214.9;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;26
GD;12;28;16;1214.7;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;27
GD;41;38;16;1211.8;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;28
